NO,Nilai,Kurs Jual,Kurs Beli,Tanggal,kurs_tengah,log_return
967,1,14800.64,14653.36,2022-08-16,14727.0,0.002651709865890583
966,1,14840.83,14693.17,2022-08-18,14767.0,0.0027124177476118574
965,1,14896.11,14747.89,2022-08-19,14822.0,0.003717602037530229
964,1,14932.29,14783.71,2022-08-22,14858.0,0.002425877200447256
963,1,14956.41,14807.59,2022-08-23,14882.0,0.0016139882454550886
962,1,14967.47,14818.53,2022-08-24,14893.0,0.0007388749286610539
961,1,14925.25,14776.75,2022-08-25,14851.0,-0.002824100854922393
960,1,14901.14,14752.86,2022-08-26,14827.0,-0.0016173600129190727
959,1,14888.07,14739.93,2022-08-29,14814.0,-0.0008771634447916219
958,1,14961.43,14812.57,2022-08-30,14887.0,0.004915669303822712
957,1,14949.38,14800.63,2022-08-31,14875.005,-0.0008060613288294816
956,1,14927.26,14778.74,2022-09-01,14853.0,-0.001480422518694946
955,1,14958.42,14809.58,2022-09-02,14884.0,0.0020849454369804787
954,1,14974.5,14825.5,2022-09-05,14900.0,0.0010744024670373247
953,1,14994.6,14845.4,2022-09-06,14920.0,0.0013413818242013111
952,1,14959.42,14810.58,2022-09-07,14885.0,-0.002348600307875059
951,1,15001.64,14852.36,2022-09-08,14927.0,0.002817659183362841
950,1,14979.52,14830.48,2022-09-09,14905.0,-0.0014749265210678676
949,1,14920.23,14771.77,2022-09-12,14846.0,-0.003966258434679583
948,1,14913.19,14764.81,2022-09-13,14839.0,-0.0004716186713658098
947,1,14935.31,14786.69,2022-09-14,14861.0,0.0014814817524428803
946,1,14997.61,14848.39,2022-09-15,14923.0,0.004163315172898528
945,1,14973.5,14824.5,2022-09-16,14899.0,-0.001609550344128802
944,1,15013.69,14864.31,2022-09-19,14939.0,0.002681146454978199
943,1,15054.9,14905.1,2022-09-20,14980.0,0.0027407350288932344
942,1,15049.88,14900.13,2022-09-21,14975.005,-0.00033350019779975566
941,1,15086.06,14935.94,2022-09-22,15011.0,0.0024007877867653618
940,1,15108.17,14957.83,2022-09-23,15033.0,0.001464518967658246
939,1,15110.17,14959.83,2022-09-26,15035.0,0.00013303179479500174
938,1,15194.59,15043.41,2022-09-27,15119.0,0.0055714145575717485
937,1,15230.77,15079.23,2022-09-28,15155.0,0.002378279511702452
936,1,15319.22,15166.78,2022-09-29,15243.0,0.005789870769938104
935,1,15323.24,15170.76,2022-09-30,15247.0,0.0002623811100655158
934,1,15308.16,15155.84,2022-10-03,15232.0,-0.0009842843407604602
933,1,15369.47,15216.53,2022-10-04,15293.0,0.003996729316976862
932,1,15352.38,15199.62,2022-10-05,15276.0,-0.0011122380027164835
931,1,15271.98,15120.02,2022-10-06,15196.0,-0.005250734037890663
930,1,15272.99,15121.01,2022-10-07,15197.0,6.580462608899186e-05
929,1,15322.23,15169.77,2022-10-10,15246.0,0.003219133614613988
928,1,15375.5,15222.5,2022-10-11,15299.0,0.00347029321915996
927,1,15438.81,15285.19,2022-10-12,15362.0,0.0041094607912483755
926,1,15449.86,15296.14,2022-10-13,15373.0,0.0007157963539721117
925,1,15433.78,15280.22,2022-10-14,15357.0,-0.0010413277869064925
924,1,15466.95,15313.05,2022-10-17,15390.0,0.0021465517072319913
923,1,15557.4,15402.6,2022-10-18,15480.0,0.005830920310793144
922,1,15546.34,15391.66,2022-10-19,15469.0,-0.0007108469070531696
921,1,15568.45,15413.55,2022-10-20,15491.0,0.0014211888696981252
920,1,15656.9,15501.1,2022-10-21,15579.0,0.005664643406065603
919,1,15688.05,15531.95,2022-10-24,15610.0,0.001987880997049153
918,1,15667.95,15512.05,2022-10-25,15590.0,-0.0012820514576555005
917,1,15694.08,15537.92,2022-10-26,15616.0,0.0016663466010515375
916,1,15673.98,15518.02,2022-10-27,15596.0,-0.0012815585503857345
915,1,15650.86,15495.14,2022-10-28,15573.0,-0.0014758256071492263
914,1,15619.71,15464.29,2022-10-31,15542.0,-0.00199260872615123
913,1,15673.98,15518.02,2022-11-01,15596.0,0.0034684343333003507
912,1,15725.24,15568.76,2022-11-02,15647.0,0.0032647341995692834
911,1,15730.26,15573.74,2022-11-03,15652.0,0.00031949902824580554
910,1,15759.41,15602.59,2022-11-04,15681.0,0.0018510840507284894
909,1,15814.68,15657.32,2022-11-07,15736.0,0.0035012926878635097
908,1,15770.46,15613.54,2022-11-08,15692.0,-0.002800052739451767
907,1,15762.42,15605.58,2022-11-09,15684.0,-0.0005099439172208978
906,1,15732.27,15575.73,2022-11-10,15654.0,-0.0019146090474387919
905,1,15779.5,15622.5,2022-11-11,15701.0,0.0029979292107382488
904,1,15570.47,15415.53,2022-11-14,15493.0,-0.01333609557922984
903,1,15576.5,15421.5,2022-11-15,15499.0,0.00038719670075901345
902,1,15641.82,15486.18,2022-11-16,15564.0,0.004185049407393495
901,1,15688.05,15531.95,2022-11-17,15610.0,0.00295117940503354
900,1,15765.43,15608.57,2022-11-18,15687.0,0.004920609346762503
899,1,15770.46,15613.54,2022-11-21,15692.0,0.0003186844732029365
898,1,15785.53,15628.47,2022-11-22,15707.0,0.0009554445135892178
897,1,15794.58,15637.42,2022-11-23,15716.0,0.0005728288353180006
896,1,15778.5,15621.5,2022-11-24,15700.0,-0.001018589341950954
895,1,15725.24,15568.76,2022-11-25,15647.0,-0.0033815070343421643
894,1,15746.34,15589.66,2022-11-28,15668.0,0.0013412104836647766
893,1,15807.65,15650.35,2022-11-29,15729.0,0.0038857264549205586
892,1,15815.68,15658.32,2022-11-30,15737.0,0.0005084853602218589
891,1,15820.71,15663.29,2022-12-01,15742.0,0.0003176721015309732
890,1,15695.08,15538.92,2022-12-02,15617.0,-0.007972235214549636
889,1,15506.15,15351.85,2022-12-05,15429.0,-0.012111209044819887
888,1,15486.05,15331.95,2022-12-06,15409.0,-0.0012971011611725097
887,1,15653.88,15498.12,2022-12-07,15576.0,0.010779513770182257
886,1,15697.09,15540.91,2022-12-08,15619.0,0.0027568538056867635
885,1,15702.12,15545.88,2022-12-09,15624.0,0.00032007169879244313
884,1,15664.93,15509.07,2022-12-12,15587.0,-0.0023709600674638263
883,1,15720.21,15563.79,2022-12-13,15642.0,0.0035223706725056947
882,1,15739.31,15582.69,2022-12-14,15661.0,0.0012139413048771741
881,1,15697.09,15540.91,2022-12-15,15619.0,-0.0026854236087114724
880,1,15708.15,15551.85,2022-12-16,15630.0,0.0007040225577999468
879,1,15695.08,15538.92,2022-12-19,15617.0,-0.0008320799276764763
878,1,15699.1,15542.9,2022-12-20,15621.0,0.0002560983431628432
877,1,15686.04,15529.96,2022-12-21,15608.0,-0.0008325595280616239
876,1,15679.0,15523.0,2022-12-22,15601.0,-0.00044858855569773786
875,1,15671.97,15516.03,2022-12-23,15594.0,-0.0004487898777041291
874,1,15683.02,15526.98,2022-12-26,15605.0,0.0007051508353346337
873,1,15714.18,15557.82,2022-12-27,15636.0,0.0019845722079655736
872,1,15737.3,15580.7,2022-12-28,15659.0,0.0014698836325975346
871,1,15781.51,15624.49,2022-12-29,15703.0,0.00280594533951088
870,1,15809.66,15652.34,2022-12-30,15731.0,0.001781510937551034
869,1,15669.96,15514.04,2023-01-02,15592.0,-0.008875325635108088
868,1,15649.86,15494.14,2023-01-03,15572.0,-0.0012835324570504409
867,1,15667.95,15512.05,2023-01-04,15590.0,0.0011552533214759205
866,1,15693.08,15536.92,2023-01-05,15615.0,0.0016023076653567283
865,1,15688.05,15531.95,2023-01-06,15610.0,-0.0003202562077011829
864,1,15713.17,15556.83,2023-01-09,15635.0,0.0016002563824639954
863,1,15651.87,15496.13,2023-01-10,15574.0,-0.003909133755010319
862,1,15666.94,15511.06,2023-01-11,15589.0,0.0009626801757495656
861,1,15604.64,15449.36,2023-01-12,15527.0,-0.003985093331511188
860,1,15442.83,15289.17,2023-01-13,15366.0,-0.01042316755358948
859,1,15252.89,15101.11,2023-01-16,15177.0,-0.012376152467534414
858,1,15094.09,14943.91,2023-01-17,15019.0,-0.01046505775446505
857,1,15229.77,15078.23,2023-01-18,15154.0,0.008948457285737847
856,1,15212.68,15061.32,2023-01-19,15137.0,-0.0011224457287534587
855,1,15188.57,15037.43,2023-01-20,15113.0,-0.001586777192444549
854,1,15196.6,15045.4,2023-01-24,15121.0,0.0005292055425484838
853,1,15004.65,14855.35,2023-01-25,14930.0,-0.012711894579433062
852,1,15032.79,14883.21,2023-01-26,14958.0,0.0018736622183767493
851,1,15038.82,14889.18,2023-01-27,14964.0,0.00040104271642398177
850,1,15052.89,14903.11,2023-01-30,14978.0,0.000935141341275545
849,1,15053.9,14904.1,2023-01-31,14979.0,6.676235940662677e-05
848,1,15066.96,14917.04,2023-02-01,14992.0,0.0008675053094844402
847,1,15065.95,14916.05,2023-02-02,14991.0,-6.670446588873435e-05
846,1,14942.34,14793.66,2023-02-03,14868.0,-0.00823876859517197
845,1,14972.49,14823.51,2023-02-06,14898.0,0.0020157233190787626
844,1,15130.27,14979.73,2023-02-07,15055.0,0.010483186179612504
843,1,15214.69,15063.31,2023-02-08,15139.0,0.005564033696044656
842,1,15197.61,15046.39,2023-02-09,15122.0,-0.0011235584936635423
841,1,15195.6,15044.4,2023-02-10,15120.0,-0.00013226638469122676
840,1,15215.7,15064.3,2023-02-13,15140.0,0.0013218772579158475
839,1,15292.08,15139.92,2023-02-14,15216.0,0.00500725779373175
838,1,15243.84,15092.16,2023-02-15,15168.0,-0.0031595602903684815
837,1,15269.97,15118.03,2023-02-16,15194.0,0.0017126675683637787
836,1,15251.88,15100.12,2023-02-17,15176.0,-0.0011853804483167379
835,1,15275.0,15123.0,2023-02-20,15199.0,0.0015144035816110335
834,1,15243.84,15092.16,2023-02-21,15168.0,-0.0020416907016581644
